setting,system,method,strategy,seed,sparse_factor,noise,support_f1,coef_error,practical_score,threshold,status
ODE,lorenz63,edmd_poly3,residual_corrected,18,64,0.1,0.5263157894736842,1.5222681708095949,0.20866765697826173,0.3,ok
ODE,lorenz63,edmd_poly3,two_sided,18,64,0.1,0.6153846153846154,1.0037887029175179,0.3071105324072418,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,18,64,0.1,0.4,1.050400811033833,0.1950838089057895,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,18,64,0.1,0.631578947368421,1.0937893261977867,0.30164398082749605,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,18,64,0.1,0.48,1.372239283747032,0.20234046509921366,0.3,ok
ODE,lorenz63,edmd_rbf,residual_corrected,18,64,0.1,0.631578947368421,1.2874339195047741,0.2761080623938447,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,18,64,0.1,0.6666666666666666,1.0700074383411116,0.32206003433539754,0.3,ok
ODE,lorenz63,edmd_poly3,baseline,19,64,0.1,0.6153846153846154,1.029361404872535,0.303240523795843,0.3,ok
ODE,lorenz63,edmd_poly3,local_reset,19,64,0.1,0.6666666666666666,1.0579151174377224,0.3239524609240068,0.3,ok
ODE,lorenz63,edmd_poly3,global_rollout,19,64,0.1,0.5454545454545454,1.706030054199427,0.20157002491826237,0.3,ok
ODE,lorenz63,edmd_poly3,residual_corrected,19,64,0.1,0.625,1.2265711692526715,0.28070066146135164,1.0,ok
ODE,lorenz63,edmd_poly3,two_sided,19,64,0.1,0.5714285714285714,1.0501993078339835,0.2787185466530473,1.0,ok
ODE,lorenz63,edmd_rbf,baseline,19,64,0.1,0.6153846153846154,1.029361404872535,0.303240523795843,0.3,ok
ODE,lorenz63,edmd_rbf,local_reset,19,64,0.1,0.5,1.4704229582496884,0.2023944921375947,0.3,ok
ODE,lorenz63,edmd_rbf,global_rollout,19,64,0.1,0.6153846153846154,1.1638738738615275,0.28439024234182125,1.0,ok
ODE,lorenz63,edmd_rbf,residual_corrected,19,64,0.1,0.4,1.0376587376622015,0.19630372476350902,0.3,ok
ODE,lorenz63,edmd_rbf,two_sided,19,64,0.1,0.45161290322580644,4.1122195691594765,0.08833988781511945,0.1,ok
ODE,vanderpol_mu2,edmd_poly3,baseline,0,64,0.1,1.0,0.3528211199851627,0.7391960291180016,0.3,ok
ODE,vanderpol_mu2,edmd_poly3,local_reset,0,64,0.1,1.0,0.08298999797701438,0.923369561923899,0.3,ok
ODE,vanderpol_mu2,edmd_poly3,global_rollout,0,64,0.1,0.8,0.9842467478816207,0.403175663941029,0.1,ok
ODE,vanderpol_mu2,edmd_poly3,residual_corrected,0,64,0.1,1.0,0.1448422850062329,0.8734827609853314,0.3,ok
ODE,vanderpol_mu2,edmd_poly3,two_sided,0,64,0.1,0.75,0.386899356880727,0.5407746396874995,0.3,ok
ODE,vanderpol_mu2,edmd_rbf,baseline,0,64,0.1,1.0,0.3528211199851627,0.7391960291180016,0.3,ok
ODE,vanderpol_mu2,edmd_rbf,local_reset,0,64,0.1,1.0,0.14718596667389872,0.8716982503711729,0.3,ok
ODE,vanderpol_mu2,edmd_rbf,global_rollout,0,64,0.1,0.7272727272727273,1.021594432299897,0.35975204306698383,0.1,ok
ODE,vanderpol_mu2,edmd_rbf,residual_corrected,0,64,0.1,1.0,0.14496394368014312,0.8733899486701738,0.3,ok
ODE,vanderpol_mu2,edmd_rbf,two_sided,0,64,0.1,0.75,0.4214532401630158,0.5276290340116908,0.3,ok
ODE,vanderpol_mu2,edmd_poly3,baseline,1,64,0.1,1.0,0.3602451411825072,0.7351616041286986,0.3,ok
ODE,vanderpol_mu2,edmd_poly3,local_reset,1,64,0.1,0.8571428571428571,0.32461776918977087,0.6470869386473245,0.3,ok
